"created_at","disaster_type","severity","confidence","camera_id","location_tag","message"
"2026-03-17T13:53:29.992421","fire","critical","0.985","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-17T13:53:55.580136","fire","critical","0.904","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-17T14:05:38.039408","fire","critical","0.86","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-17T14:06:03.022259","fire","critical","0.935","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-17T14:17:39.824463","fire","critical","0.929","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-23T05:33:17.316515","fire","critical","0.793","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-23T05:33:25.334019","fire","critical","0.808","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-23T05:33:34.365994","fire","critical","0.979","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-23T05:33:43.284136","fire","critical","0.974","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-23T05:34:01.425622","fire","critical","0.956","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-23T05:34:13.808076","fire","critical","0.967","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-23T05:34:22.851636","fire","critical","0.982","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-23T05:35:07.137840","fire","critical","0.977","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-23T05:35:16.765478","fire","critical","0.898","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-23T05:35:25.892583","fire","critical","0.902","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
